name,quantity,size,weight,address
Aquafina 350,3,0.1801625,11,"31, Phan Huy Ich, go vap, ho chi minh"
Aquafina 500,20,0.29435,12.5,"10, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,5,0.1801625,11,"40, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,3,0.1801625,11,"18, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,7,0.1801625,11,"86, Truong Chinh, tan binh, ho chi minh"
Aquafina 350,19,0.1801625,11,"90, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 350,18,0.1801625,11,"94, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,2,0.1801625,11,"59, Huynh Van Cu, thu dau mot, binh duong"
Aquafina 500,10,0.29435,12.5,"100, Cong hoa, tan binh, ho chi minh"
Aquafina 500,6,0.29435,12.5,"70, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 500,3,0.29435,12.5,"93, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,16,0.1801625,11,"10, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,18,0.29435,12.5,"32, Pasteur, quan 1, Ho Chi Minh"
Aquafina 500,14,0.29435,12.5,"1, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,10,0.1801625,11,"23, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,3,0.1801625,11,"26, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,14,0.29435,12.5,"56, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,12,0.29435,12.5,"91, Nguyen Thai Binh, tan binh, ho chi minh"
Aquafina 350,13,0.1801625,11,"45, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,18,0.1801625,11,"46, Cong hoa, tan binh, ho chi minh"
Aquafina 350,10,0.1801625,11,"12, Cong hoa, tan binh, ho chi minh"
Aquafina 350,10,0.1801625,11,"87, D3, binh thanh, ho chi minh"
Aquafina 500,17,0.29435,12.5,"34, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,9,0.29435,12.5,"93, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,18,0.1801625,11,"99, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,7,0.29435,12.5,"68, Nguyen Thai Binh, tan binh, ho chi minh"
Aquafina 500,7,0.29435,12.5,"99, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,8,0.1801625,11,"2, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,2,0.1801625,11,"95, Nguyen Oanh, go vap, ho chi minh"
Aquafina 350,20,0.1801625,11,"89, D3, binh thanh, ho chi minh"
Aquafina 500,16,0.29435,12.5,"1, D3, binh thanh, ho chi minh"
Aquafina 350,7,0.1801625,11,"47, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,18,0.1801625,11,"21, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 500,13,0.29435,12.5,"42, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 500,17,0.29435,12.5,"35, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 350,5,0.1801625,11,"85, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,9,0.1801625,11,"27, D3, binh thanh, ho chi minh"
Aquafina 500,1,0.29435,12.5,"8, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,8,0.1801625,11,"14, Huynh Van Cu, thu dau mot, binh duong"
Aquafina 500,13,0.29435,12.5,"94, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,8,0.1801625,11,"50, Cong hoa, tan binh, ho chi minh"
Aquafina 500,15,0.29435,12.5,"72, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 500,15,0.29435,12.5,"45, D3, binh thanh, ho chi minh"
Aquafina 350,11,0.1801625,11,"34, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 500,9,0.29435,12.5,"62, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,11,0.1801625,11,"5, Pasteur, quan 1, Ho Chi Minh"
Aquafina 500,16,0.29435,12.5,"4, Truong Chinh, tan binh, ho chi minh"
Aquafina 500,19,0.29435,12.5,"28, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 500,19,0.29435,12.5,"12, D3, binh thanh, ho chi minh"
Aquafina 500,15,0.29435,12.5,"3, Cong hoa, tan binh, ho chi minh"
Aquafina 350,13,0.1801625,11,"48, Cong hoa, tan binh, ho chi minh"
Aquafina 500,18,0.29435,12.5,"77, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,12,0.29435,12.5,"43, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,6,0.1801625,11,"34, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,20,0.1801625,11,"12, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,6,0.29435,12.5,"53, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 500,7,0.29435,12.5,"18, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,5,0.1801625,11,"14, Truong Chinh, tan binh, ho chi minh"
Aquafina 350,2,0.1801625,11,"14, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,14,0.29435,12.5,"15, Cong hoa, tan binh, ho chi minh"
Aquafina 350,1,0.1801625,11,"52, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,15,0.1801625,11,"52, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,19,0.29435,12.5,"28, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,13,0.1801625,11,"7, Cong hoa, tan binh, ho chi minh"
Aquafina 500,16,0.29435,12.5,"44, Cong hoa, tan binh, ho chi minh"
Aquafina 350,15,0.1801625,11,"70, Truong Chinh, tan binh, ho chi minh"
Aquafina 500,9,0.29435,12.5,"96, Pasteur, quan 1, Ho Chi Minh"
Aquafina 500,17,0.29435,12.5,"14, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,7,0.29435,12.5,"66, Cong hoa, tan binh, ho chi minh"
Aquafina 350,15,0.1801625,11,"12, Phan Huy Ich, go vap, ho chi minh"
Aquafina 500,10,0.29435,12.5,"83, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,13,0.1801625,11,"16, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,9,0.29435,12.5,"49, Cong hoa, tan binh, ho chi minh"
Aquafina 350,5,0.1801625,11,"11, Kha Van Can, thu duc, ho chi minh"
Aquafina 350,14,0.1801625,11,"91, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,11,0.1801625,11,"2, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,15,0.1801625,11,"60, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,3,0.29435,12.5,"51, Huynh Van Cu, thu dau mot, binh duong"
Aquafina 500,2,0.29435,12.5,"97, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,4,0.1801625,11,"8, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,8,0.1801625,11,"61, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,18,0.1801625,11,"81, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,11,0.1801625,11,"17, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,11,0.29435,12.5,"51, Cong hoa, tan binh, ho chi minh"
Aquafina 500,9,0.29435,12.5,"34, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 500,12,0.29435,12.5,"40, D3, binh thanh, ho chi minh"
Aquafina 350,19,0.1801625,11,"20, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,13,0.1801625,11,"7, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,13,0.1801625,11,"26, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 350,1,0.1801625,11,"43, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 350,16,0.1801625,11,"69, Kha Van Can, thu duc, ho chi minh"
Aquafina 350,15,0.1801625,11,"69, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,18,0.1801625,11,"1, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,7,0.1801625,11,"91, Huynh Van Cu, thu dau mot, binh duong"
Aquafina 350,4,0.1801625,11,"31, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,12,0.29435,12.5,"59, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,12,0.1801625,11,"37, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,1,0.1801625,11,"86, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,15,0.1801625,11,"69, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,12,0.1801625,11,"80, Phu Tho Hoa, tan phu, ho chi minh"
